Title,Description,PublishedAt,URL
Trump has dinner with Canadian Prime Minister Justin Trudeau at Mar-a-Lago - CNN,President-elect Donald Trump had dinner with Canadian Prime Minister Justin Trudeau on Friday evening at Mar-a-Lago.,2024-11-30T15:38:00Z,https://www.cnn.com/2024/11/29/politics/donald-trump-justin-trudeau-dinner/index.html
My top 5 picks for best Cyber Monday deals are all hovering at near-record low prices - ZDNet,"I've personally tested all five of these tech products, and they're outstanding. I love seeing them at great prices for Cyber Monday so more people can enjoy them.",2024-11-30T15:34:00Z,https://www.zdnet.com/article/5-best-tech-deals-for-cyber-monday-11-30-2024/
Votes being tallied in Ireland elections - CBS Chicago,"An exit poll by public broadcaster RTE found Sinn Féin, Fianna Fáil, and Fine Gael all within two points of each other, with each winning around 20% of the national vote.",2024-11-30T15:31:00Z,https://www.cbsnews.com/chicago/video/votes-being-tallied-in-ireland-elections/
"We Found the Best Black Friday Apple Deals: $400 Off MacBooks, $100 Off iPads and More - CNET","Shop all the best Apple Black Friday deals on iPhones, MacBooks, AirPods and more",2024-11-30T15:24:00Z,https://www.cnet.com/deals/best-black-friday-apple-deals-2024-11-30/
"Russell frustrated by ""infuriating"" McLaren Qatar F1 sprint race tactics - Motorsport.com",DRS from Norris and some robust blocking kept Piastri ahead of the Mercedes,2024-11-30T15:15:00Z,https://www.motorsport.com/f1/news/russell-frustrated-by-infuriating-mclaren-qatar-f1-sprint-race-tactics/10677931/
Israel says it killed Oct. 7 attack suspect who worked for US-based charity - Reuters,"The Israeli military said on Saturday it had killed a militant who took part in the Oct. 7, 2023 Hamas attacks on Israel and who it said was employed by a U.S.-based charity, World Central Kitchen, in Gaza.",2024-11-30T15:14:53Z,https://www.reuters.com/world/middle-east/israel-says-it-killed-october-7-attacker-probes-claim-he-was-wck-employee-2024-11-30/
Deadly hurricane season ends with at least 335 US deaths - USA TODAY,"The deaths make 2024 the deadliest hurricane season since 2005, said National Hurricane Center director Michael Brennan.",2024-11-30T15:01:26Z,https://www.usatoday.com/story/news/nation/2024/11/30/2024-atlantic-hurricane-season-ends-with-at-least-335-us-deaths/76619181007/
[Removed],[Removed],2024-11-30T14:44:00Z,https://removed.com
"12-year-old stole grandfather's car, drove 160 miles before arrest, police in Washington say - CBS News","The boy, who has not been identified, led police on a brief pursuit after being spotted with the stolen vehicle.",2024-11-30T14:33:03Z,https://www.cbsnews.com/news/12-year-old-stolen-car-drove-160-miles-washington/
You can still score a PlayStation 5 for as low as $374 for Black Friday - The Verge,"The PS5 Digital Edition slim and the standard, disc-based model are $75 off. They may not be as fancy as the new PS5 Pro, but that’s as cheap as Sony’s base console gets.",2024-11-30T14:05:00Z,https://www.theverge.com/2024/11/30/24308967/black-friday-2024-playstation-5-ps5-slim-digital-edition-disc-cyber-monday
"Trump and Republicans in Congress eye an ambitious 100-day agenda, starting with tax cuts - ABC News","Republicans swept to power on Election Day and now control the House, the Senate and the White House, with plans for an ambitious 100-day agenda come January",2024-11-30T14:00:40Z,https://abcnews.go.com/Business/wireStory/trump-republicans-congress-eye-ambitious-100-day-agenda-116333867
WWE Survivor Series 2024 preview: CM Punk makes Roman Reigns look strong again - Cageside Seats,"CM Punk joins Roman Reigns for WWE’s most highly anticipated main event since WrestleMania. Let’s break down what to expect on the full card and lineup for WWE Survivor Series 2024, where the Bloodline civil war comes to ahead at War Games, and Bayley replace…",2024-11-30T14:00:00Z,https://www.cagesideseats.com/wwe/2024/11/30/24309393/wwe-survivor-series-2024-preview-war-games-og-bloodline-cm-punk-roman-reigns-heyman-cargill-replaced
Parts of the Great Lakes region remain on alert as lake-effect snow continues to create near-whiteout conditions - CNN,"Bone-chilling Arctic air gripped much of the eastern United States on Saturday, while lake-effect snow threatened to disrupt post-holiday travel in parts of the Great Lakes region.",2024-11-30T12:52:00Z,https://www.cnn.com/2024/11/30/us/thanksgiving-weekend-lake-effect-snow-saturday/index.html
[Removed],[Removed],2024-11-30T12:16:15Z,https://removed.com
Zelenskyy says NATO offer for Ukraine-controlled territory could end ‘hot stage’ of war - The Associated Press,"Ukrainian President Volodymyr Zelenskyy says an offer of NATO membership to territory under Kyiv’s control would end “the hot stage of the war” in Ukraine, but any proposal to join the military alliance should be extended to all parts of the country that fall…",2024-11-30T12:06:00Z,https://apnews.com/article/russia-ukraine-war-zelenskyy-nato-92069fae6a05fc03d6fb2643ecbb4b2a
Everything Kirby Smart said after Georgia's 8-OT victory over Georgia Tech - 247Sports,Coach Smart had no shortage of things to say after a wild win to end the regular season,2024-11-30T12:02:53Z,https://247sports.com/college/georgia/longformarticle/everything-kirby-smart-said-after-georgias-8-ot-victory-over-georgia-tech-240766531/
Syrian rebels sweep into Aleppo after lightning assault - Financial Times,Offensive highlights Bashar al-Assad’s weakness as Israel targets regime supporters Iran and Hizbollah,2024-11-30T11:24:52Z,https://www.ft.com/content/637a7e0a-7fcb-4536-984e-d08a51bd8fa0
Bills star QB Josh Allen gets engaged before matchup against 49ers - Niners Nation,The Niners hope to spoil Josh Allen’s engagement week.,2024-11-30T11:00:00Z,https://www.ninersnation.com/2024/11/30/24309305/bills-star-josh-allen-engaged-actress-hailee-steinfeld-matchup-49ers
Vietnam to build US$67 billion high-speed railway - South China Morning Post,"The railway will run from Hanoi in the north to Ho Chi Minh City in the south, in a boost to infrastructure expected to drive investment.",2024-11-30T10:30:08Z,https://www.scmp.com/news/asia/southeast-asia/article/3288811/vietnam-build-us67-billion-high-speed-railway
The Hot New Job for Men: Nursing - The Wall Street Journal,,2024-11-30T10:30:00Z,https://www.wsj.com/economy/jobs/male-nursing-boom-high-demand-field-7733dfaf
